127.0.0.1 - - [09/Jan/2026 15:52:00] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jan/2026 15:52:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jan/2026 15:52:12] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jan/2026 15:52:12] "GET /js/converters.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jan/2026 15:52:12] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jan/2026 15:52:12] "GET /favicon.svg HTTP/1.1" 200 -
127.0.0.1 - - [09/Jan/2026 15:53:12] code 404, message File not found
127.0.0.1 - - [09/Jan/2026 15:53:12] "GET /privacy-policy.html HTTP/1.1" 404 -
127.0.0.1 - - [09/Jan/2026 15:53:12] code 404, message File not found
127.0.0.1 - - [09/Jan/2026 15:53:12] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [09/Jan/2026 16:13:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jan/2026 16:13:18] "GET /css/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [09/Jan/2026 16:13:18] "GET /js/converters.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2026 16:13:18] "GET /js/cookies.js HTTP/1.1" 200 -
127.0.0.1 - - [09/Jan/2026 16:13:18] "GET /js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2026 16:13:19] "GET /favicon.svg HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2026 16:13:21] code 404, message File not found
127.0.0.1 - - [09/Jan/2026 16:13:21] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [09/Jan/2026 16:13:22] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [09/Jan/2026 16:13:22] code 404, message File not found
127.0.0.1 - - [09/Jan/2026 16:13:22] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [09/Jan/2026 16:13:24] "GET / HTTP/1.1" 200 -
